date,strategy,zone,bias,opt,strike_type,entry_time,ep,xp,exit_reason,pnl,cam_level,touch_time,year
2022-03-09,v17a,pdh_to_r1,bear,PE,OTM1,09:20:02,156.4,78.1,target,5872.5,,,2022
2022-03-14,v17a,tc_to_pdh,bear,PE,OTM1,09:31:02,188.25,114.65,eod,5520.0,,,2022
2022-03-15,cam_l3,pdh_to_r1,bull,PE,ITM1,09:54:45,268.2,214.45,target,4031.25,16807.2,09:54:43,2022
2022-03-16,v17a,tc_to_pdh,bull,PE,ITM1,09:25:02,125.4,97.25,target,2111.25,,,2022
2022-03-21,v17a,tc_to_pdh,bull,PE,ITM1,09:25:02,227.25,341.1,hard_sl,-8538.75,,,2022
2022-03-22,v17a,pdl_to_bc,bull,PE,OTM1,09:31:02,178.05,141.55,target,2737.5,,,2022
2022-03-23,cam_l3,pdh_to_r1,bull,PE,ITM1,12:07:23,233.75,185.65,target,3607.5,17238.52,12:07:21,2022
2022-03-28,v17a,tc_to_pdh,bull,PE,ITM1,09:25:02,224.3,178.95,target,3401.25,,,2022
2022-04-01,v17a,pdl_to_bc,bull,PE,OTM1,09:31:02,130.4,104.0,target,1980.0,,,2022
2022-04-04,v17a,r1_to_r2,bull,PE,OTM1,09:16:02,108.3,54.15,target,4061.25,,,2022
2022-04-05,v17a,tc_to_pdh,bull,PE,ITM1,09:25:02,162.0,129.05,target,2471.25,,,2022
2022-04-08,v17a,tc_to_pdh,bull,PE,ITM1,09:25:02,184.45,146.1,target,2876.25,,,2022
2022-04-11,v17a,within_cpr,bull,PE,ATM,09:20:02,128.55,88.0,target,3041.25,,,2022
2022-04-18,v17a,s3_to_s4,bear,CE,ITM1,09:20:02,179.15,107.35,target,5385.0,,,2022
2022-04-20,cam_h3,tc_to_pdh,bear,CE,OTM1,09:17:17,43.35,87.0,hard_sl,-3273.75,16992.91,09:17:15,2022
2022-04-26,v17a,r1_to_r2,bear,PE,ATM,09:20:02,111.3,66.15,eod,3386.25,,,2022
2022-05-02,v17a,s1_to_s2,bear,CE,ATM,09:16:02,144.75,202.25,eod,-4312.5,,,2022
2022-05-04,v17a,pdh_to_r1,bear,PE,OTM1,09:20:02,87.55,134.4,hard_sl,-3513.75,,,2022
2022-05-11,v17a,tc_to_pdh,bear,PE,OTM1,09:31:02,81.7,124.8,hard_sl,-3232.5,,,2022
2022-05-13,v17a,tc_to_pdh,bear,PE,OTM1,09:31:02,151.0,226.75,hard_sl,-5681.25,,,2022
2022-05-16,v17a,tc_to_pdh,bear,PE,OTM1,09:31:02,122.1,125.3,eod,-240.0,,,2022
2022-05-18,v17a,pdh_to_r1,bear,PE,OTM1,09:20:02,87.0,131.3,hard_sl,-3322.5,,,2022
2022-05-20,v17a,r1_to_r2,bear,PE,ATM,09:20:02,179.2,103.0,eod,5715.0,,,2022
2022-05-23,v17a,pdh_to_r1,bear,PE,OTM1,09:20:02,194.1,95.7,target,7380.0,,,2022
2022-05-24,v17a,tc_to_pdh,bear,PE,OTM1,09:31:02,183.0,183.55,lockin_sl,-41.25,,,2022
2022-05-25,v17a,tc_to_pdh,bear,PE,OTM1,09:31:02,84.0,127.65,hard_sl,-3273.75,,,2022
2022-05-27,v17a,pdh_to_r1,bear,PE,OTM1,09:20:02,171.15,125.8,eod,3401.25,,,2022
2022-05-30,v17a,r2_to_r3,bull,PE,ATM,09:20:02,150.8,120.15,target,2298.75,,,2022
2022-05-31,v17a,pdl_to_bc,bull,PE,OTM1,09:31:02,131.85,105.0,target,2013.75,,,2022
2022-06-01,v17a,tc_to_pdh,bull,PE,ITM1,09:25:02,116.5,180.0,hard_sl,-4762.5,,,2022
2022-06-03,v17a,r1_to_r2,bull,PE,OTM1,09:16:02,128.1,194.8,eod,-5002.5,,,2022
2022-06-07,v17a,pdl_to_bc,bull,PE,OTM1,09:31:02,126.25,121.6,eod,348.75,,,2022
2022-06-08,v17a,r1_to_r2,bull,PE,OTM1,09:16:02,100.8,80.95,lockin_sl,1488.75,,,2022
2022-06-13,v17a,below_s4,bear,CE,ITM1,09:16:02,156.8,125.25,target,2366.25,,,2022
2022-06-15,v17a,tc_to_pdh,bear,PE,OTM1,09:31:02,100.75,100.8,lockin_sl,-3.75,,,2022
2022-06-17,v17a,pdl_to_s1,bear,CE,ITM1,09:20:02,231.05,183.9,target,3536.25,,,2022
2022-06-20,v17a,tc_to_pdh,bear,PE,OTM1,09:31:02,185.5,112.4,eod,5482.5,,,2022
2022-06-24,v17a,pdh_to_r1,bear,PE,OTM1,09:20:02,128.3,109.45,eod,1413.75,,,2022
2022-06-27,v17a,r3_to_r4,bull,PE,ITM1,09:25:02,160.0,185.1,eod,-1882.5,,,2022
2022-06-28,v17a,s1_to_s2,bear,CE,ATM,09:16:02,123.05,164.35,eod,-3097.5,,,2022
2022-06-29,cam_l3,pdl_to_bc,bear,PE,ITM1,12:58:43,61.65,48.0,target,1023.75,15825.06,12:58:41,2022
2022-07-01,v17a,pdl_to_s1,bear,CE,ITM1,09:20:02,182.5,145.55,target,2771.25,,,2022
2022-07-04,v17a,tc_to_pdh,bear,PE,OTM1,09:31:02,129.8,64.85,target,4871.25,,,2022
2022-07-05,v17a,r1_to_r2,bull,PE,OTM1,09:16:02,87.9,70.35,lockin_sl,1316.25,,,2022
2022-07-06,cam_h3,pdl_to_bc,bear,CE,OTM1,09:16:34,61.4,62.15,lockin_sl,-56.25,15864.98,09:16:32,2022
2022-07-08,v17a,r2_to_r3,bull,PE,ATM,09:20:02,195.0,172.65,eod,1676.25,,,2022
2022-07-12,v17a,pdl_to_bc,bull,PE,OTM1,09:31:02,99.5,79.35,target,1511.25,,,2022
2022-07-13,cam_h3,r1_to_r2,bull,CE,OTM1,10:35:49,34.0,16.9,target,1282.5,16072.59,10:35:47,2022
2022-07-15,v17a,tc_to_pdh,bull,PE,ITM1,09:25:02,151.4,121.0,target,2280.0,,,2022
2022-07-19,cam_l3,pdl_to_bc,bull,PE,ITM1,09:18:45,98.25,78.6,target,1473.75,16239.97,09:18:43,2022
2022-07-20,v17a,r3_to_r4,bull,PE,ITM1,09:25:02,124.5,99.0,target,1912.5,,,2022
2022-07-22,v17a,r1_to_r2,bull,PE,OTM1,09:16:02,102.6,79.0,eod,1770.0,,,2022
2022-07-25,v17a,pdl_to_bc,bull,PE,OTM1,09:31:02,88.05,69.65,target,1380.0,,,2022
2022-07-26,v17a,tc_to_pdh,bull,PE,ITM1,09:25:02,186.6,228.1,eod,-3112.5,,,2022
2022-07-27,v17a,pdl_to_bc,bull,PE,OTM1,09:31:02,83.45,66.0,target,1308.75,,,2022
2022-07-29,v17a,r1_to_r2,bull,PE,OTM1,09:16:02,94.9,54.65,eod,3018.75,,,2022
2022-08-01,v17a,r1_to_r2,bull,PE,OTM1,09:16:02,102.65,50.8,target,3888.75,,,2022
2022-08-02,v17a,within_cpr,bull,PE,ATM,09:20:02,103.85,72.6,target,2343.75,,,2022
2022-08-05,v17a,tc_to_pdh,bull,PE,ITM1,09:25:02,161.15,128.0,target,2486.25,,,2022
2022-08-08,v17a,tc_to_pdh,bull,PE,ITM1,09:25:02,164.4,131.15,target,2493.75,,,2022
2022-08-10,cam_l3,pdh_to_r1,bull,PE,ITM1,09:18:13,160.7,128.0,target,2452.5,17473.71,09:18:11,2022
2022-08-12,v17a,pdl_to_bc,bull,PE,OTM1,09:31:02,113.8,90.3,target,1762.5,,,2022
2022-08-19,cam_l3,pdh_to_r1,bull,PE,ITM1,09:37:01,177.25,268.15,hard_sl,-6817.5,17933.19,09:36:59,2022
2022-08-23,cam_h3,s1_to_s2,bull,CE,OTM1,09:49:54,199.25,159.45,lockin_sl,2985.0,17554.79,09:49:52,2022
2022-08-24,cam_l3,within_cpr,bull,PE,ITM1,09:32:35,106.95,84.9,target,1653.75,17545.5,09:32:33,2022
2022-08-26,v17a,tc_to_pdh,bull,PE,ITM1,09:25:02,139.4,210.0,hard_sl,-5295.0,,,2022
2022-08-29,v17a,below_s4,bear,CE,ITM1,09:16:02,187.8,220.15,eod,-2426.25,,,2022
2022-09-02,v17a,tc_to_pdh,bull,PE,ITM1,09:25:02,186.9,215.6,eod,-2152.5,,,2022
2022-09-05,v17a,tc_to_pdh,bull,PE,ITM1,09:25:02,137.45,107.65,target,2235.0,,,2022
2022-09-06,cam_l3,r1_to_r2,bull,PE,ITM1,10:20:19,195.95,155.4,target,3041.25,17615.93,10:20:17,2022
2022-09-09,v17a,r2_to_r3,bull,PE,ATM,09:20:02,131.35,167.2,eod,-2688.75,,,2022
2022-09-12,v17a,tc_to_pdh,bull,PE,ITM1,09:25:02,141.95,113.5,target,2133.75,,,2022
2022-09-13,v17a,r2_to_r3,bull,PE,ATM,09:20:02,107.4,85.3,target,1657.5,,,2022
2022-09-19,cam_h3,pdl_to_bc,bear,CE,OTM1,10:00:50,175.0,153.35,eod,1623.75,17640.02,10:00:48,2022
2022-09-20,v17a,r1_to_r2,bull,PE,OTM1,09:16:02,89.4,66.5,eod,1717.5,,,2022
2022-09-26,v17a,s1_to_s2,bear,CE,ATM,09:16:02,152.6,75.85,target,5756.25,,,2022
2022-09-28,v17a,s1_to_s2,bear,CE,ATM,09:16:02,96.55,57.0,eod,2966.25,,,2022
2022-10-03,v17a,tc_to_pdh,bear,PE,OTM1,09:31:02,141.35,212.05,hard_sl,-5302.5,,,2022
2022-10-04,v17a,r1_to_r2,bear,PE,ATM,09:20:02,85.6,42.75,target,3213.75,,,2022
2022-10-07,v17a,pdl_to_s1,bear,CE,ITM1,09:20:02,179.45,143.5,target,2696.25,,,2022
2022-10-11,v17a,tc_to_pdh,bear,PE,OTM1,09:31:02,119.2,179.1,hard_sl,-4492.5,,,2022
2022-10-14,v17a,r3_to_r4,bull,PE,ITM1,09:25:02,180.7,143.95,target,2756.25,,,2022
2022-10-17,v17a,pdl_to_s1,bear,CE,ITM1,09:20:02,148.55,262.5,eod,-8546.25,,,2022
2022-10-19,v17a,r2_to_r3,bull,PE,ATM,09:20:02,97.65,78.0,target,1473.75,,,2022
2022-10-21,cam_l3,pdh_to_r1,bull,PE,ITM1,14:29:57,209.45,166.5,target,3221.25,17519.23,14:29:55,2022
2022-10-25,v17a,r2_to_r3,bull,PE,ATM,09:20:02,111.1,88.55,target,1691.25,,,2022
2022-10-28,v17a,tc_to_pdh,bull,PE,ITM1,09:25:02,125.05,130.85,eod,-435.0,,,2022
2022-11-04,v17a,tc_to_pdh,bull,PE,ITM1,09:25:02,143.9,112.4,target,2362.5,,,2022
2022-11-07,cam_l3,r2_to_r3,bull,PE,ITM1,13:05:23,169.4,135.15,target,2568.75,18094.91,13:05:21,2022
2022-11-11,v17a,r3_to_r4,bull,PE,ITM1,09:25:02,120.25,90.25,target,2250.0,,,2022
2022-11-14,cam_l3,pdh_to_r1,bull,PE,ITM1,10:17:05,149.0,118.2,target,2310.0,18328.19,10:17:03,2022
2022-11-15,v17a,tc_to_pdh,bull,PE,ITM1,09:25:02,94.75,143.0,hard_sl,-3618.75,,,2022
2022-11-16,v17a,tc_to_pdh,bull,PE,ITM1,09:25:02,102.9,82.1,target,1560.0,,,2022
2022-11-18,v17a,tc_to_pdh,bull,PE,ITM1,09:25:02,150.6,226.95,hard_sl,-5726.25,,,2022
2022-11-21,v17a,pdl_to_bc,bull,PE,OTM1,09:31:02,94.75,91.6,eod,236.25,,,2022
2022-11-22,v17a,tc_to_pdh,bull,PE,ITM1,09:25:02,116.1,92.45,target,1773.75,,,2022
2022-11-25,cam_l3,pdh_to_r1,bull,PE,ITM1,09:22:32,161.3,128.3,target,2475.0,18449.7,09:22:30,2022
2022-12-05,v17a,tc_to_pdh,bull,PE,ITM1,09:25:02,149.0,119.05,target,2246.25,,,2022
2022-12-09,cam_l3,r1_to_r2,bull,PE,ITM1,10:17:26,130.35,197.5,hard_sl,-5036.25,18588.84,10:17:24,2022
2022-12-16,v17a,pdl_to_s1,bear,CE,ITM1,09:20:02,150.5,120.2,target,2272.5,,,2022
2022-12-19,cam_h3,pdl_to_bc,bear,CE,OTM1,09:47:29,93.35,142.75,eod,-3705.0,18325.94,09:47:27,2022
2022-12-20,cam_l3,within_cpr,bear,PE,ITM1,15:05:36,78.4,62.6,target,1185.0,18376.85,15:05:34,2022
2022-12-21,cam_l3,pdh_to_r1,bear,PE,ITM1,10:40:22,167.65,132.9,target,2606.25,18331.98,10:40:20,2022
2022-12-23,v17a,s1_to_s2,bear,CE,ATM,09:16:02,195.3,97.65,target,7323.75,,,2022
2022-12-27,v17a,tc_to_pdh,bear,PE,OTM1,09:31:02,95.65,96.5,lockin_sl,-63.75,,,2022
2022-12-28,cam_l3,within_cpr,bear,PE,ITM1,09:16:03,110.9,88.25,target,1698.75,18084.16,09:16:01,2022
2022-12-30,v17a,pdh_to_r1,bear,PE,OTM1,09:20:02,98.15,98.3,lockin_sl,-11.25,,,2022
2023-01-02,cam_h3,pdl_to_bc,bear,CE,OTM1,09:47:35,87.95,89.35,lockin_sl,-105.0,18166.86,09:47:33,2023
2023-01-03,cam_l3,tc_to_pdh,bear,PE,ITM1,09:16:02,126.5,100.35,target,1961.25,18171.52,09:16:00,2023
2023-01-04,cam_l3,tc_to_pdh,bear,PE,ITM1,09:16:10,118.0,177.0,hard_sl,-4425.0,18206.71,09:16:08,2023
2023-01-06,v17a,tc_to_pdh,bear,PE,OTM1,09:31:02,91.8,92.0,lockin_sl,-15.0,,,2023
2023-01-10,v17a,tc_to_pdh,bear,PE,OTM1,09:31:02,116.55,175.0,hard_sl,-4383.75,,,2023
2023-01-13,v17a,tc_to_pdh,bear,PE,OTM1,09:31:02,112.3,55.8,target,4237.5,,,2023
2023-01-16,cam_l3,pdh_to_r1,bear,PE,ITM1,12:23:01,189.35,151.2,target,2861.25,17888.4,12:22:59,2023
2023-01-20,v17a,tc_to_pdh,bull,PE,ITM1,09:25:02,113.25,90.1,target,1736.25,,,2023
2023-01-31,v17a,pdh_to_r1,bear,PE,OTM1,09:20:02,201.65,131.45,eod,5265.0,,,2023
2023-02-01,v17a,r1_to_r2,bear,PE,ATM,09:20:02,149.75,74.6,target,5636.25,,,2023
2023-02-03,v17a,r1_to_r2,bear,PE,ATM,09:20:02,130.25,64.5,target,4931.25,,,2023
2023-02-06,v17a,tc_to_pdh,bear,PE,OTM1,09:31:02,106.25,95.1,eod,836.25,,,2023
2023-02-15,cam_l3,within_cpr,bull,PE,ITM1,09:16:03,100.9,80.3,target,1545.0,17880.36,09:16:01,2023
2023-02-20,v17a,tc_to_pdh,bull,PE,ITM1,09:25:02,102.0,81.5,target,1537.5,,,2023
2023-02-21,v17a,tc_to_pdh,bull,PE,ITM1,09:25:02,120.8,96.5,target,1822.5,,,2023
2023-02-24,v17a,tc_to_pdh,bear,PE,OTM1,09:31:02,95.0,142.9,hard_sl,-3592.5,,,2023
2023-03-10,v17a,s1_to_s2,bear,CE,ATM,09:16:02,98.8,99.15,lockin_sl,-26.25,,,2023
2023-03-24,v17a,tc_to_pdh,bear,PE,OTM1,09:31:02,134.0,107.2,lockin_sl,2010.0,,,2023
2023-03-27,cam_h3,tc_to_pdh,bear,CE,OTM1,09:16:03,80.1,80.1,lockin_sl,0.0,16987.73,09:16:01,2023
2023-04-03,v17a,r1_to_r2,bull,PE,OTM1,09:16:02,99.45,63.8,eod,2673.75,,,2023
2023-04-10,v17a,tc_to_pdh,bull,PE,ITM1,09:25:02,121.75,96.6,target,1886.25,,,2023
2023-04-18,v17a,tc_to_pdh,bull,PE,ITM1,09:25:02,99.8,150.0,hard_sl,-3765.0,,,2023
2023-04-21,v17a,tc_to_pdh,bull,PE,ITM1,09:25:02,97.1,146.0,hard_sl,-3667.5,,,2023
2023-04-25,cam_l3,pdh_to_r1,bull,PE,ITM1,09:21:18,96.35,76.75,target,1470.0,17710.8,09:21:16,2023
2023-04-28,cam_l3,pdh_to_r1,bull,PE,ITM1,10:12:49,132.75,106.15,target,1995.0,17883.28,10:12:47,2023
